FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT NUMBER,DEPARTMENT DESCRIPTION,APPROPRIATION AUTHORITY,APPROPRIATION AUTHORITY DESCRIPTION,APPROPRIATION ACCOUNT,APPROPRIATION ACCOUNT DESCRIPTION,2021 ORDINANCE (AMOUNT $)
CDBG,0J47,CDBG,5,OBM,2505,ADMINISTRATION AND MONITORING,5,SALARIES AND WAGES - ON PAYROLL,163200.00
CDBG,0J47,CDBG,5,OBM,2505,ADMINISTRATION AND MONITORING,15,SCHEDULE SALARY ADJUSTMENTS,1784.00
CDBG,0J47,CDBG,5,OBM,2505,ADMINISTRATION AND MONITORING,39,STUDENT AS TRAINEES,3478.00
CDBG,0J47,CDBG,5,OBM,2505,ADMINISTRATION AND MONITORING,44,FRINGE BENEFITS,74109.00
CDBG,0J47,CDBG,5,OBM,2505,ADMINISTRATION AND MONITORING,140,PROFESSIONAL AND TECHNICAL SERVICES,1219381.00
CDBG,0J47,CDBG,5,OBM,2505,ADMINISTRATION AND MONITORING,152,ADVERTISING,10000.00
CDBG,0J47,CDBG,5,OBM,2505,ADMINISTRATION AND MONITORING,157,RENTAL EQUIPMENT AND SERVICES,20000.00
CDBG,0J47,CDBG,5,OBM,2505,ADMINISTRATION AND MONITORING,159,LEASE/PURCHASE EQUIPMENT,2600.00
CDBG,0J47,CDBG,5,OBM,2505,ADMINISTRATION AND MONITORING,169,TECHNICAL MEETING COSTS,30000.00
CDBG,0J47,CDBG,5,OBM,2505,ADMINISTRATION AND MONITORING,190,TELEPHONE - CENTREX BILLINGS,1950.00
CDBG,0J47,CDBG,5,OBM,2505,ADMINISTRATION AND MONITORING,270,LOCAL TRANSPORTATION,150.00
CDBG,0J47,CDBG,5,OBM,2505,ADMINISTRATION AND MONITORING,348,BOOKS AND RELATED MATERIAL,1624.00
CDBG,0J47,CDBG,5,OBM,2505,ADMINISTRATION AND MONITORING,350,STATIONERY AND OFFICE SUPPLIES,3500.00
CDBG,0J47,CDBG,5,OBM,2505,ADMINISTRATION AND MONITORING,9438,REIMBURSEMENT - AIS,5000.00
CDBG,0J47,CDBG,21,DOH,2556,Developer Services,5,SALARIES AND WAGES - ON PAYROLL,450440.00
CDBG,0J47,CDBG,21,DOH,2556,Developer Services,15,SCHEDULE SALARY ADJUSTMENTS,1861.00
CDBG,0J47,CDBG,21,DOH,2556,Developer Services,44,FRINGE BENEFITS,215320.00
CDBG,0J47,CDBG,21,DOH,2556,Developer Services,140,PROFESSIONAL AND TECHNICAL SERVICES,25098.00
CDBG,0J47,CDBG,21,DOH,2556,Developer Services,169,TECHNICAL MEETING COSTS,14451.00
CDBG,0J47,CDBG,21,DOH,2556,Developer Services,270,LOCAL TRANSPORTATION,100.00
CDBG,0J47,CDBG,21,DOH,2556,Developer Services,340,MATERIAL AND SUPPLIES,1800.00
CDBG,0J47,CDBG,21,DOH,2556,Developer Services,350,STATIONERY AND OFFICE SUPPLIES,1800.00
CDBG,0J47,CDBG,21,DOH,2556,Developer Services,801,INDIRECT COSTS,212350.00
CDBG,0J47,CDBG,21,DOH,2556,Developer Services,9103,REHABILITATION LOANS GT,8000000.00
CDBG,0J47,CDBG,21,DOH,2557,Housing Preservation,5,SALARIES AND WAGES - ON PAYROLL,291092.00
CDBG,0J47,CDBG,21,DOH,2557,Housing Preservation,15,SCHEDULE SALARY ADJUSTMENTS,4671.00
CDBG,0J47,CDBG,21,DOH,2557,Housing Preservation,44,FRINGE BENEFITS,136273.00
CDBG,0J47,CDBG,21,DOH,2557,Housing Preservation,130,POSTAGE,925.00
CDBG,0J47,CDBG,21,DOH,2557,Housing Preservation,135,DELEGATE AGENCIES,5105000.00
CDBG,0J47,CDBG,21,DOH,2557,Housing Preservation,140,PROFESSIONAL AND TECHNICAL SERVICES,10674.00
CDBG,0J47,CDBG,21,DOH,2557,Housing Preservation,157,RENTAL EQUIPMENT AND SERVICES,700.00
CDBG,0J47,CDBG,21,DOH,2557,Housing Preservation,169,TECHNICAL MEETING COSTS,3000.00
CDBG,0J47,CDBG,21,DOH,2557,Housing Preservation,340,MATERIAL AND SUPPLIES,3000.00
CDBG,0J47,CDBG,21,DOH,2557,Housing Preservation,350,STATIONERY AND OFFICE SUPPLIES,3000.00
CDBG,0J47,CDBG,21,DOH,2557,Housing Preservation,801,INDIRECT COSTS,173090.00
CDBG,0J47,CDBG,21,DOH,2557,Housing Preservation,9126,HEAT RECEIVERSHIP PGM,1200000.00
CDBG,0J47,CDBG,21,DOH,2558,Emergency Repair,5,SALARIES AND WAGES - ON PAYROLL,276750.00
CDBG,0J47,CDBG,21,DOH,2558,Emergency Repair,44,FRINGE BENEFITS,129505.00
CDBG,0J47,CDBG,21,DOH,2558,Emergency Repair,140,PROFESSIONAL AND TECHNICAL SERVICES,204610.00
CDBG,0J47,CDBG,21,DOH,2558,Emergency Repair,801,INDIRECT COSTS,408626.00
CDBG,0J47,CDBG,21,DOH,2558,Emergency Repair,9264,EHRP,900000.00
CDBG,0J47,CDBG,21,DOH,2558,Emergency Repair,9265,HOME REPAIR PROGRAM,5268806.00
CDBG,0J47,CDBG,21,DOH,2559,Housing Services and Assist,5,SALARIES AND WAGES - ON PAYROLL,91192.00
CDBG,0J47,CDBG,21,DOH,2559,Housing Services and Assist,44,FRINGE BENEFITS,41410.00
CDBG,0J47,CDBG,21,DOH,2559,Housing Services and Assist,135,DELEGATE AGENCIES,593875.00
CDBG,0J47,CDBG,21,DOH,2559,Housing Services and Assist,140,PROFESSIONAL AND TECHNICAL SERVICES,1045.00
CDBG,0J47,CDBG,21,DOH,2559,Housing Services and Assist,801,INDIRECT COSTS,1781.00
CDBG,0J47,CDBG,21,DOH,2560,Homeownership Services,5,SALARIES AND WAGES - ON PAYROLL,61776.00
CDBG,0J47,CDBG,21,DOH,2560,Homeownership Services,15,SCHEDULE SALARY ADJUSTMENTS,854.00
CDBG,0J47,CDBG,21,DOH,2560,Homeownership Services,44,FRINGE BENEFITS,28052.00
CDBG,0J47,CDBG,21,DOH,2560,Homeownership Services,135,DELEGATE AGENCIES,728120.00
CDBG,0J47,CDBG,21,DOH,2560,Homeownership Services,169,TECHNICAL MEETING COSTS,1995.00
