FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT NUMBER,DEPARTMENT DESCRIPTION,APPROPRIATION AUTHORITY,APPROPRIATION AUTHORITY DESCRIPTION,APPROPRIATION ACCOUNT,APPROPRIATION ACCOUNT DESCRIPTION,2022 ORDINANCE (AMOUNT $)
LOCAL,0100,CORPORATE FUND,1,MO,2005,OFFICE OF THE MAYOR,5,SALARIES AND WAGES - ON PAYROLL,10206075.00
LOCAL,0100,CORPORATE FUND,1,MO,2005,OFFICE OF THE MAYOR,39,STUDENT AS TRAINEES,180200.00
LOCAL,0100,CORPORATE FUND,1,MO,2005,OFFICE OF THE MAYOR,126,OFFICE CONVENIENCES,1600.00
LOCAL,0100,CORPORATE FUND,1,MO,2005,OFFICE OF THE MAYOR,130,POSTAGE,5500.00
LOCAL,0100,CORPORATE FUND,1,MO,2005,OFFICE OF THE MAYOR,140,PROFESSIONAL AND TECHNICAL SERVICES,30000.00
LOCAL,0100,CORPORATE FUND,1,MO,2005,OFFICE OF THE MAYOR,149,SOFTWARE MAINTENANCE AND LICENSING,2500.00
LOCAL,0100,CORPORATE FUND,1,MO,2005,OFFICE OF THE MAYOR,150,OUTSIDE GRAPHIC SERVICES,1600.00
LOCAL,0100,CORPORATE FUND,1,MO,2005,OFFICE OF THE MAYOR,157,RENTAL EQUIPMENT AND SERVICES,46000.00
LOCAL,0100,CORPORATE FUND,1,MO,2005,OFFICE OF THE MAYOR,159,LEASE/PURCHASE EQUIPMENT,52000.00
LOCAL,0100,CORPORATE FUND,1,MO,2005,OFFICE OF THE MAYOR,162,REPAIR/MAINT EQUIPMENT,6984.00
LOCAL,0100,CORPORATE FUND,1,MO,2005,OFFICE OF THE MAYOR,166,DUES  SUBSC & MEM,249511.00
LOCAL,0100,CORPORATE FUND,1,MO,2005,OFFICE OF THE MAYOR,169,TECHNICAL MEETING COSTS,6000.00
LOCAL,0100,CORPORATE FUND,1,MO,2005,OFFICE OF THE MAYOR,229,TRANSPORTATION AND EXPENSE ALLOWANCE,1000.00
LOCAL,0100,CORPORATE FUND,1,MO,2005,OFFICE OF THE MAYOR,245,REIMBURSEMENT TO TRAVELERS,100000.00
LOCAL,0100,CORPORATE FUND,1,MO,2005,OFFICE OF THE MAYOR,270,LOCAL TRANSPORTATION,3000.00
LOCAL,0100,CORPORATE FUND,1,MO,2005,OFFICE OF THE MAYOR,350,STATIONERY AND OFFICE SUPPLIES,30000.00
LOCAL,0100,CORPORATE FUND,1,MO,2005,OFFICE OF THE MAYOR,9121,LOBBYIST COSTS,200000.00
LOCAL,0355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,1,MO,2005,OFFICE OF THE MAYOR,5,SALARIES AND WAGES - ON PAYROLL,454296.00
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,5,SALARIES AND WAGES - ON PAYROLL,6575057.00
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,15,SCHEDULE SALARY ADJUSTMENTS,65084.00
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,20,OVERTIME,3000.00
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,130,POSTAGE,1879.00
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,138,IT MAINTENANCE,514088.00
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,140,PROFESSIONAL AND TECHNICAL SERVICES,706446.00
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,143,COURT REPORTING,52500.00
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,149,SOFTWARE MAINTENANCE AND LICENSING,1170827.00
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,150,OUTSIDE GRAPHIC SERVICES,6000.00
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,157,RENTAL EQUIPMENT AND SERVICES,48779.00
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,159,LEASE/PURCHASE EQUIPMENT,549914.00
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,161,MAINT FACILITIES,1000000.00
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,162,REPAIR/MAINT EQUIPMENT,1000.00
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,166,DUES  SUBSC & MEM,18282.00
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,169,TECHNICAL MEETING COSTS,115299.00
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,181,MOBILE COMMUNICATION SERVICES,28435.00
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,189,TELEPHONE - NON-CENTREX BILLINGS,64975.00
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,245,REIMBURSEMENT TO TRAVELERS,15821.00
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,270,LOCAL TRANSPORTATION,31025.00
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,312,SOFTWARE PURCHASES,416000.00
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,320,GASOLINE,2506.00
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,340,MATERIAL AND SUPPLIES,5423.00
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,348,BOOKS AND RELATED MATERIAL,1273.00
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,350,STATIONERY AND OFFICE SUPPLIES,28326.00
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,424,FURNITURE AND FURNISHINGS,50000.00
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,446,PURCHASE - DATA HARDWARE,88477.00
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,700,CONTINGENCIES,97060.00
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,9438,REIMBURSEMENT - AIS,2000.00
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,5,SALARIES AND WAGES - ON PAYROLL,1116345.00
