FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT NUMBER,DEPARTMENT DESCRIPTION,APPROPRIATION AUTHORITY,APPROPRIATION AUTHORITY DESCRIPTION,APPROPRIATION ACCOUNT,APPROPRIATION ACCOUNT DESCRIPTION,2023 ORDINANCE (AMOUNT $)
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0005,Salaries and Wages - on Payroll,10514517.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0039,For the Employment of Students as Trainees,180200.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0126,Office Conveniences,1600.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0130,Postage,5500.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,30000.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0149,For Software Maintenance and Licensing,2500.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0150,Publications and Reproduction - Outside Services.  To Be Expended with the Prior Approval of Graphics Services,1600.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0157,Rental of Equipment and Services,46000.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0159,Lease Purchase Agreements for Equipment and Machinery,52000.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0162,Repair/Maintenance of Equipment,6984.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0166,"Dues, Subscriptions and Memberships",249511.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0169,Technical Meeting Costs,6000.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0229,Transportation and Expense Allowance,1000.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0245,Reimbursement to Travelers,100000.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0270,Local Transportation,3000.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0350,Stationery and Office Supplies,30000.00
